1.1	1	0.00448	0	0.0510541	0
1.1	2	0	0	0	0
1.2	1	1.20416	0	0.662387	0
1.2	2	0.00448	0	0.0510541	0
1.3	1	1.68	0	1.42085	0
1.3	2	0.0208	0	0.306306	0
1.4	1	2.52	0	2.58858	0
1.4	2	0.02912	0	0.663659	0
1.5	1	3.96	0	4.47645	0
1.5	2	0.04576	0	1.22521	0
1.6	1	4.68	0	6.73881	0
1.6	2	0.06656	0	2.04202	0
1.7	1	5.28	0	9.32967	0
1.7	2	0.09984	0	3.26723	0
1.8	1	8.04	0	13.5167	0
1.8	2	0.14976	0	5.10504	0
1.9	1	10.32	0	20.0713	0
1.9	2	0.21216	0	7.70861	0
2	1	10.3414	0	26.0929	0
2	2	0.23712	0	10.6185	0
2	3	0	0	0	0
2.1	1	10.3754	0	32.076	0
2.1	2	0.23712	0	13.5284	0
2.1	3	0.00448	0	0.0522715	0
2.1	4	0	0	0	0
2.2	1	10.3075	0	38.091	0
2.2	2	0.23296	0	16.3872	0
2.2	3	1.20416	0	0.679527	0
2.2	4	0.00448	0	0.0510541	0
2.3	1	10.4685	0	44.1294	0
2.3	2	0.23712	0	19.2971	0
2.3	3	1.68	0	1.44629	0
2.3	4	0.0208	0	0.306306	0
2.4	1	10.3866	0	50.183	0
2.4	2	0.23296	0	22.1559	0
2.4	3	2.52	0	2.62708	0
2.4	4	0.02912	0	0.663659	0
2.5	1	10.8538	0	56.4723	0
2.5	2	0.23712	0	25.0658	0
2.5	3	3.96	0	4.53547	0
2.5	4	0.04576	0	1.22521	0
2.6	1	10.3866	0	62.4922	0
2.6	2	0.23712	0	27.9756	0
2.6	3	3.96	0	6.42334	0
2.6	4	0.06656	0	2.04202	0
2.7	1	10.985	0	69.8124	0
2.7	2	0.208	0	30.5281	0
2.7	3	4.08	0	8.58735	0
2.7	4	0.09984	0	3.26723	0
2.8	1	8.57184	0	77.231	0
2.8	2	0.1456	0	32.3149	0
2.8	3	6.36	0	12.4734	0
2.8	4	0.14976	0	5.10504	0
2.9	1	4.2576	0	81.2073	0
2.9	2	0.2288	0	35.1227	0
2.9	3	10.7885	0	21.8107	0
2.9	4	0.08736	0	6.1771	0
3	1	9.14048	0	90.7473	0
3	2	0.20384	0	37.6241	0
3	3	5.79168	0	27.679	0
3	4	0.1248	0	7.70861	0
3.1	1	8.57184	0	99.3817	0
3.1	2	0.104	0	38.9004	0
3.1	3	6.39424	0	34.4436	0
3.1	4	0.24128	0	10.6695	0
3.2	1	6.27424	0	105.81	0
3.2	2	0.19136	0	41.2487	0
3.2	3	8.744	0	43.6578	0
3.2	4	0.14976	0	12.5074	0
3.3	1	7.85344	0	114.432	0
3.3	2	0.17888	0	43.4439	0
3.3	3	7.0448	1	50.6391	0
3.3	4	0.15808	0	14.4473	0
3.4	1	7.55008	1	121.909	0
3.4	2	0.17056	0	45.537	0
